seat_id,room_id,floor_id,building_id,seat_number,seat_type,status,assigned_user_id,x_position,y_position
ec7cd02c-63eb-4ae6-a97d-3de8e8e15a4a,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 1,assigned,available,,,
e543c637-19e4-43f2-a212-6e5caa5545d5,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 2,assigned,available,,,
636fe50a-8f70-4c68-aa00-bd25934b6d7b,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 3,assigned,available,,,
f415f665-1bc4-4557-b7a2-cd66ba1cdb98,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 4,assigned,available,,,
925ee1e4-948e-4483-90a2-9595bcf14330,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 5,assigned,available,,,
cbc04457-973f-4b22-956a-a5d15188e53d,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 6,assigned,available,,,
b1fc5237-e960-4221-a14d-a3553e3e704a,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 7,assigned,available,,,
8edf6a9f-76c1-4db2-b511-d782431cbfd8,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 8,assigned,available,,,
256a2b8e-f938-4ac1-b730-0ecf0ab9062e,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 9,assigned,available,,,
877c4d2c-0733-4296-8b96-107618848873,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 10,assigned,available,,,
a98548ad-a6c8-4d4b-8bc0-93fc3c4b5576,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 11,assigned,available,,,
95b41fae-3af0-4517-8c65-4c860dcbe02b,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 12,assigned,available,,,
e9223d78-e213-4440-91b9-e883a8b14657,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 13,assigned,available,,,
f0db1964-db0a-4d18-bf02-38524b5d97bf,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 14,assigned,available,,,
4c4e89c1-c4b3-4375-aee5-a85743817b77,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 15,assigned,available,,,
7b9eda83-b241-4e86-9bec-c282af818d43,fecac3ba-1176-4fe7-9639-59ddcfc7f5fd,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 16,assigned,available,,,
cbff8f8c-9b2c-441a-bcb3-e4042101ed18,2f5316da-d08a-428a-85e3-34b921e5b7fc,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 1,assigned,available,,,
4d26c34f-1944-48d7-b174-6de7c6fbcc6e,2f5316da-d08a-428a-85e3-34b921e5b7fc,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 2,assigned,available,,,
b7589960-b403-41ac-812e-255e5775ecc0,2f5316da-d08a-428a-85e3-34b921e5b7fc,001d8c2e-6092-46a8-94fb-129267cf5687,874f945a-821e-4a4e-a23f-eb6a83ba6017,Seat 3,assigned,available,,,
